,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
107,0.639,0.88,-3.056,0.145,0.56,0.0,0.354,0.965,109.689,1oRxWYm6Vw7dwsnmewFuhx,139625
108,0.732,0.573,-5.733,0.0237,0.56,9.34e-06,0.0543,0.882,97.502,4H6o1bxKRGzmsE0vzo968m,152923
109,0.824,0.672,-7.679,0.126,0.133,1.97e-06,0.114,0.797,120.538,5qKsIal7JJZ2bqXHPKdyVb,225250
110,0.784,0.551,-8.697,0.0448,0.508,0.0,0.0596,0.926,106.987,63BZhuQ6OZQmxy2RERMHko,122243
111,0.811,0.867,-5.157,0.0918,0.621,0.000111,0.0759,0.897,104.469,3foO6pKWWEIMeIIjGiHRde,215644
112,0.616,0.68,-4.768,0.0467,0.683,0.0,0.153,0.377,96.523,0q2CjjP0hoopNMz2924hey,174627
113,0.741,0.588,-4.833,0.0288,0.289,0.000256,0.308,0.675,107.513,5ilf0RHAnRF5miyE9ad8O7,216837
114,0.714,0.61,-5.048,0.0319,0.165,0.0,0.331,0.963,106.049,51AtNwSp96OMUywgEr6BhF,165371
115,0.539,0.318,-8.023,0.0824,0.366,0.0,0.203,0.759,143.286,2IN5quW5Yd0mi6PzMoaz5y,205125
116,0.62,0.402,-8.715,0.0331,0.514,8.43e-06,0.349,0.266,127.105,4SdLUkVGNUm2gNF7YQdhY1,220866
117,0.698,0.687,-4.115,0.0501,0.195,0.0,0.0829,0.773,116.765,7ifMxHITc3NIipJO4R5NGb,202876
118,0.749,0.899,-4.73,0.0926,0.179,1.58e-06,0.0929,0.868,163.935,3HevcnYdnqtS0MvtyWkOg5,169146
119,0.755,0.55,-6.102,0.107,0.618,2.66e-06,0.0868,0.926,114.501,01OAhZvrPcUBko04aEy1Hh,159976
120,0.731,0.491,-3.116,0.029,0.609,0.0,0.262,0.781,132.891,0uBcoM4zxRXk7kmsmxoiFS,170053
121,0.551,0.436,-8.029,0.0428,0.395,0.0,0.0719,0.862,188.651,74WROFXsox6wkeUrEK2DS6,170745
122,0.778,0.445,-5.178,0.0416,0.675,2.05e-06,0.283,0.969,116.973,6wTqVQ6RRkqAyT5XDGcRq4,154869
123,0.557,0.66,-4.467,0.0768,0.118,0.0,0.085,0.907,128.179,6Yard5LK4aXEn0kBKtHSob,202022
124,0.479,0.574,-6.894,0.0712,0.407,0.0,0.299,0.97,163.295,6bKPmj3k2zoTzoEOiFnmM0,173500
125,0.673,0.592,-6.819,0.0319,0.146,0.0288,0.0942,0.778,117.354,6Gv2GDFZzmhK6b82lUwjhG,184680
126,0.715,0.739,-3.779,0.041,0.578,0.0,0.0887,0.963,101.611,1hHnCReCPe1FUkGLTeuCaC,140984
127,0.409,0.713,-6.713,0.03,0.434,0.000719,0.206,0.725,97.029,15UfWisTMmHsMjkUUEAoAa,214398
128,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,6HIIuuUIEzH1meVdGbMXyf,189050
129,0.555,0.832,-3.691,0.0412,0.28,0.0,0.0894,0.43,170.124,3qAJAUr7yc9bPDx4ESt6ND,209903
